parola1,parola2,score
recessione,PIL,2
Cesare,Giulio Cesare,2
paziente,sessione,0
comportamentismo,terapia,1
imperatore,costituzione,2
matematico,spettacolo,0
entropia,informazione,3
acqua di rose,olio di rosa,3
agrume,pompelmo,3
Regina Vittoria,Inghilterra,3
Giochi Olimpici,spirito,1
vescovo,musulmano,2
uomo,sospetto,1
meteorite,Terra,2
simbolo,segno,3
antropologia,New York,0
tramonto,tavolo,0
cittadina,città,3
giacca,acqua minerale,0
natura,flora,3
subroutine,compilatore,2
Hamadan,Roma,3
ombrello,stufa,0
onore,stima,3
insegna,dignità,0
KFC,McDonald's,3
joystick,radar,2
basmati,riso jasmine,3
medaglia,scarpe da ginnastica,1
legge,piscina,0
sorgente,scatola,0
teatro,batteria,0
flora,web browser,0
camicia,cardigan,3
poema,ritmo,1
profeta,prete,3
Oscar,stadio,0
backgammon,Go,3
farfalla,rosa,1
recinto,salto,1
nichilismo,film,1
asteroide,stella,2
sommossa,disegno,0
intimo,corpo,3
Boeing,aereo,3
cameo,interpretazione,3
semestre,quadrimestre,3
arancia,agrume,3
ghiacciaio,riscaldamento globale,3
galleria,percorso,3